Datum,Zápis,Částka,MD,DAL,Typ,Kód,Číslo,Popis
10.02.2025,12,"10 000,00",353000,411000,ID,"",2025000001,Základní kapitál
12.02.2025,41,"9 200,00",221002,261000,BV,fio_641_czk,22,Převod mezi firemními účty
12.02.2025,4,"9 200,00",221001,353000,BV,fio_208_czk,3,Splacení pohledávky za upsaným vlastním jměním
12.02.2025,6,"800,00",221001,353000,BV,fio_208_czk,1,Splacení pohledávky za upsaným vlastním jměním
12.02.2025,10,"800,00",365000,221001,BV,fio_208_czk,2,Půjčka společníka
12.02.2025,47,"9 200,00",261000,221001,BV,fio_208_czk,4,Převod mezi firemními účty
13.02.2025,5,"870 000,00",221001,365000,BV,fio_208_czk,5,Půjčka společníka
14.02.2025,43,"1 058,00",261000,221002,BV,fio_641_czk,23,Převod mezi firemními účty
14.02.2025,22,"1 058,00",501004,321000,FP,"",2025000002,vana
14.02.2025,38,"1 058,00",321000,221001,BV,fio_208_czk,6,Úhrada faktury dodavateli
14.02.2025,46,"1 058,00",221001,261000,BV,fio_208_czk,7,Převod mezi firemními účty
16.02.2025,42,"2 440,00",261000,221002,BV,fio_641_czk,24,Převod mezi firemními účty
16.02.2025,27,"2 440,00",321000,221001,BV,fio_208_czk,9,Úhrada faktury dodavateli
16.02.2025,45,"2 440,00",221001,261000,BV,fio_208_czk,8,Převod mezi firemními účty
17.02.2025,23,"2 440,00",538000,321000,FP,"",2025000003,"dálniční známka, SPZ: 6SL2846 20. 2. 2025 - 19. 2. 2026"
21.02.2025,3,"28 679,00",221001,365000,BV,fio_208_czk,10,Půjčka společníka
21.02.2025,7,"28 679,00",548100,221001,BV,fio_208_czk,11,Pojištění
28.02.2025,16,"1 704,00",221001,365000,BV,fio_208_czk,12,Půjčka společníka
28.02.2025,44,"8,30",221002,662001,BV,fio_641_czk,25,Připsaný úrok na BÚ
28.02.2025,21,"1 704,00",548100,321000,FP,"",2025000004,pojištění odpovědnosti firmy
01.03.2025,13,"420,00",343001,321000,FP,"",2025000001,DPH v základní sazbě
01.03.2025,14,"2 000,00",518004,321000,FP,"",2025000001,Fakturujeme vám účetní služby za období březen 2025.
01.03.2025,15,"2 420,00",321000,221001,BV,fio_208_czk,14,Úhrada faktury dodavateli
